TIMESTAMP_DAY,TID,CLICKS,IMPRESSIONS
5/30/17,7a06629925096916,0,0
5/31/17,ca1d9ef0627b933a,1,4
6/24/17,2a37a3f328cada7d,0,0
6/21/17,cc32923e74e559f6,0,0
6/16/17,7d9869216d4be33f,0,0
5/28/17,99051ad0e80d4a65,0,0
6/4/17,7ea18f89edd134d6,0,0
6/16/17,890debb8e5044772,0,0
6/9/17,3b8c842c84389899,0,0
6/13/17,fc432dcbdb8b71f,0,0
6/22/17,d8536a5e2d451471,0,0
6/7/17,890debb8e5044772,0,5
6/14/17,1059189ba42b82b6,0,0
6/1/17,d6501358400a0107,0,2
6/21/17,cd04e34d3df74e23,0,0
6/22/17,434b7b46cbda38d6,0,0
6/11/17,a379e11799604699,0,0
6/15/17,f30ecb5fa0049bba,0,0
5/31/17,524e1e325784ce0e,0,1
6/25/17,a678cdc32a06b676,0,0
6/19/17,bed2c581687bea4a,0,0
6/11/17,b0c6f6cb3a621b46,0,0
6/14/17,8c8f66cf6bce3015,0,0
6/19/17,806ea39b2da67234,0,0
6/16/17,7a3b87e0e997da58,0,0
6/4/17,4ef4b74934fc1c5d,0,0
6/23/17,e5fe5500e637f9cd,0,0
6/11/17,85b2a005110c057b,0,0
6/18/17,ae00c4235967c1a9,0,0
6/15/17,889d8b32dd4d06e2,0,0
6/25/17,d067733ce4748f9f,0,0
6/24/17,a7140321cfe1ef79,0,0
6/25/17,fe105659e3a95d4,0,0
6/22/17,b91c0e3a2f43fbcd,0,2
6/20/17,b6166822544b53e7,0,0
6/4/17,cecbaf0de638a7a3,0,0
6/21/17,d5053f5955f81ed1,0,0
6/19/17,dbaab71a41e8d2ce,0,0
6/9/17,7ad5f687a43d579c,0,0
6/24/17,8d4c8d1fbfc5e728,0,0
6/19/17,8cfa3d627962b19,0,0
6/9/17,e7b6ab3b18835683,0,0
6/16/17,fc334928962824d9,0,0
6/12/17,e8e28a9598e265c5,0,0
6/8/17,1bca1029d4859c0f,1,4
6/7/17,aeb5be91161412b7,5,14
6/14/17,1c68046cdae91bb7,0,0
6/21/17,3c2bc72aefb70f8e,0,0
6/8/17,ef3eb636c6d421ce,0,0
6/14/17,7ada9624c077f609,0,0
6/18/17,4acfa82750b2cfaa,0,0
6/17/17,70783dd28f7fc993,0,0
6/21/17,df62aa0562e672a7,0,0
5/30/17,3c65bdfcbda25cd6,0,0
6/23/17,f205ecc7fd4628be,0,4
6/7/17,7cce838fa3d99026,0,0
6/2/17,987991bc389f6bf3,0,0
6/19/17,d8e55f5590c42315,0,0
6/5/17,176e47326504e8dc,0,0
6/15/17,72fd3ba5a2793caa,0,12
6/15/17,602bd5792e9cf040,0,0
6/21/17,6f6b826aa72e6532,0,0
5/31/17,9b11f3452e55f086,0,0
6/5/17,1cfeb2d5cf3c4aab,0,0
6/24/17,32fe166a9884c657,0,4
6/20/17,cca8b07a3dcc1feb,0,0
6/16/17,c19fa7c84f6dddb6,0,0
6/2/17,f3a8d12b01880489,0,0
6/2/17,121f5b6a1b35e3cc,0,0
6/7/17,98e1e4ff5fbd6822,0,0
6/19/17,75a0b59b18f6ecd4,0,0
6/3/17,44d77309478d4fe2,0,0
6/19/17,6e97f51cd69e357c,0,0
6/22/17,f9b227c543238a02,0,0
6/13/17,ac5897774a9f378e,0,0
6/19/17,17a30e0029a92971,0,0
6/8/17,a6c55baf95796e05,0,3
6/5/17,15e186a38b469c61,1,6
5/30/17,66fbbc99267e1f50,0,0
6/18/17,ad033ac86c8a39c1,0,0
6/4/17,ad9a5a9b0a5b74d7,0,0
6/22/17,11452b0bd88c135b,0,0
6/13/17,62b8a3a2aeb8c52e,0,0
5/31/17,9ae12aa4bc582840,0,0
6/12/17,aa5ef09a6460908a,0,0
6/20/17,4d52cf2bfc75bc99,0,0
